dates,website
4 3 2020,https://www.nytimes.com/2020/04/03/opinion/sunday/coronavirus-china-US.html
most common The,"https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html#:~:text=There%20is%20currently%20no%20vaccine,%2Dto%2Dperson."
4 18 2020,https://www.nytimes.com/2020/04/18/health/coronavirus-america-future.html
1 31 2020,https://www.nytimes.com/2020/01/31/world/asia/coronavirus-china.html
None,https://www.nytimes.com/2020/03/21/world/coronavirus-updates-usa-world.html
3 18 2020,https://www.nytimes.com/2020/03/18/travel/coronavirus-americans-stranded.html
3 21 2020,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-briefing-7/
4 1 2020,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-briefing-15/
2 27 2020,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-conference/
3 19 2020,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-briefing-6/
3 28 2020,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-briefing-13/
