dates,website
3 26 2020,http://www.kten.com/story/41943991/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid
None,https://www.kmaj.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.wksm.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,http://lite.cnn.com/en/article/h_28131ae793d8f92c1a5d25a047d650be
None,https://www.wvlkam.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.blazin923.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.ktik.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.935wrqn.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,https://www.wiov.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.957thevibe.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.997wtn.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,https://wiky.com/2020/03/26/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,https://kvia.com/your-voice-your-vote/politics/2020/03/26/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.951kbby.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.sportsradio1270.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.classichits1033.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.webe108.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.wlwi.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,https://krdo.com/news/politics/2020/03/26/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.kboi.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.newstalkwsba.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,https://localnews8.com/news/politics/2020/03/26/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.stevegormanrocks.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,http://www.l4cq.com/article/6648
None,https://www.1039wvbo.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.newsradio1029.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,https://dnyuz.com/2020/03/26/analysis-unemployment-spikes-as-congress-moves-on-2t-in-aid/
None,https://www.klif.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.kber.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.ksfo.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.wfnc640am.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.kbcy.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.980waav.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.wgni.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.wcoapensacola.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.kfru.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.wgow.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.wmac-am.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,https://summarizer.co/article/unemployment-spikes-and-congress-moves-ahead-on-dollar2-trillion-in-aid
None,https://www.katt.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.kgoradio.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 27 2020,https://progressivepartyusa.com/progressive-news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid-2/
3 27 2020,https://progressivepartyusa.com/progressive-news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.kmaj1440.com/news/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 26 2020,https://www.cnn.com/2020/03/26/politics/what-matters-march-26/index.html
None,https://www.youtube.com/watch?v=h4VAfacWxB8
3 28 2020,https://health-news.pw/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
3 31 2020,https://metnews.pw/unemployment-spikes-and-congress-moves-ahead-on-2-trillion-in-aid/
None,https://www.twipu.com/annieescobar123
